,ImgSize,NoiseType,n,p,FOM
,10,SaltAndPepper,1,1,0.762997481821011
,10,Gaussian,1,1,0.7129587809501726
,10,Gumbel,1,1,0.7396532844139468
,10,SaltAndPepper,1,3,0.8280948743133616
,10,Gaussian,1,3,0.7444524571862934
,10,Gumbel,1,3,0.692319359766313
,10,SaltAndPepper,1,5,0.6739994090762691
,10,Gaussian,1,5,0.7505729564553093
,10,Gumbel,1,5,0.7638697903403785
,10,SaltAndPepper,2,1,0.8506473134708429
,10,Gaussian,2,1,0.90636202422741
,10,Gumbel,2,1,0.732137239922707
,10,SaltAndPepper,2,3,0.9352941176470588
,10,Gaussian,2,3,0.8602378014142721
,10,Gumbel,2,3,0.7768018367731423
,10,SaltAndPepper,2,5,1.0
,10,Gaussian,2,5,0.8618372250085805
,10,Gumbel,2,5,0.8241778529593654
