,ImgSize,NoiseType,n,p,FOM
,10,SaltAndPepper,2,5,0.8069518716577541
,10,Gaussian,2,5,0.8522238163558105
,10,Gumbel,2,5,0.7183318963545909
,10,SaltAndPepper,1,1,0.759428932863468
,10,Gaussian,1,1,0.7750988699249101
,10,Gumbel,1,1,0.7599939573855433
,10,SaltAndPepper,1,3,0.7692922874988869
,10,Gaussian,1,3,0.7336367379695932
,10,Gumbel,1,3,0.6929866948672281
,10,SaltAndPepper,1,5,0.8239390617907241
,10,Gaussian,1,5,0.6990896320672014
,10,Gumbel,1,5,0.673554140503208
,10,SaltAndPepper,2,1,0.8823529411764706
,10,Gaussian,2,1,0.8009975149934582
,10,Gumbel,2,1,0.7979154044062764
,10,SaltAndPepper,2,3,0.8176470588235294
,10,Gaussian,2,3,0.7891086019034368
,10,Gumbel,2,3,0.8022728158357045
,10,SaltAndPepper,2,5,0.8647058823529412
,10,Gaussian,2,5,0.7906508057768561
,10,Gumbel,2,5,0.8488089450656294
